,kakou_no,status,statusRate,X,Y
0,3701022002.0,0,0.926136363636,117.0648134,36.66551018
1,3701022003.0,0,0.873106060606,117.0588047,36.66617497
2,3701022004.0,0,0.934659090909,117.0628702,36.66392489
3,3701022005.0,0,0.939393939394,117.0647111,36.6625953
4,3701022006.0,0,0.897727272727,117.0776235,36.64224235
5,3701022007.0,0,0.9375,117.0806534,36.65672721
6,3701022008.0,0,0.950757575758,117.1054426,36.66282543
7,3701022010.0,0,0.967803030303,117.0749771,36.66538233
8,3701022011.0,0,0.945075757576,117.080717,36.663004
9,3701022012.0,0,0.719696969697,117.0951127,36.65333931
10,3701022013.0,0,0.945075757576,117.0895642,36.64952952
11,3701022014.0,0,0.933712121212,117.0861635,36.6894428
12,3701022017.0,0,0.698863636364,117.0586385,36.65773719
13,3701022018.0,0,0.876893939394,117.0586768,36.65121708
14,3701022019.0,0,0.607954545455,117.0454576,36.66072876
15,3701022020.0,0,0.725378787879,117.0590092,36.65928411
16,3701022021.0,0,0.263257575758,117.0493697,36.64065707
17,3701022022.0,0,0.801136363636,117.0417757,36.63983886
18,3701022023.0,0,0.956439393939,117.0388736,36.64315005
19,3701022024.0,0,0.939393939394,117.0344502,36.64545126
20,3701022025.0,0,0.738636363636,117.0268178,36.64545126
21,3701022026.0,0,0.965909090909,117.0196968,36.64548961
22,3701022027.0,0,0.938446969697,117.0202977,36.64184603
23,3701022029.0,0,0.958333333333,117.0498299,36.66929439
24,3701022031.0,0,0.952651515152,117.0488072,36.6759807
25,3701022032.0,0,0.767045454545,117.0466849,36.68721829
26,3701022033.0,0,0.949810606061,117.0408169,36.68351078
27,3701022034.0,0,0.920454545455,117.0434888,36.66604713
28,3701022035.0,0,0.931818181818,117.0431053,36.67149333
29,3701022036.0,0,0.924242424242,117.0412643,36.67498351
30,3701022037.0,0,0.901515151515,117.0303719,36.67302747
31,3701022039.0,0,0.929924242424,117.023187,36.65732808
32,3701022040.0,0,0.941287878788,117.0204128,36.65704682
33,3701022041.0,0,0.945075757576,117.0181627,36.65819743
34,3701022042.0,0,0.761363636364,117.0105815,36.65919462
35,3701022043.0,0,0.924242424242,117.0106326,36.6553337
36,3701022045.0,0,0.920454545455,117.0216784,36.66239075
37,3701022046.0,0,0.929924242424,117.0309344,36.66724887
38,3701022047.0,0,0.212121212121,117.0300139,36.66750456
39,3701022048.0,0,0.975378787879,117.0242609,36.66632838
40,3701022049.0,0,0.965909090909,117.0151455,36.66248024
41,3701022051.0,0,0.929924242424,117.0103897,36.66666078
42,3701022052.0,0,0.880681818182,117.015951,36.67162118
43,3701022053.0,0,0.953598484848,117.0272013,36.67208142
44,3701022055.0,0,0.956439393939,117.1168208,36.64339295
53,3701022101.0,0,0.83648989899,117.0945502,36.64505494
54,3701022102.0,0,0.956439393939,117.0628957,36.63730752
55,3701022103.0,0,0.958333333333,117.0292345,36.63020154
56,3701022104.0,0,0.840909090909,117.0166925,36.63625919
57,3701022105.0,0,0.329545454545,117.0181755,36.6424469
58,3701022106.0,0,0.619318181818,117.0499328,36.64804671
59,3701022107.0,0,0.849116161616,117.030423,36.64812323
60,3701022108.0,0,0.67803030303,117.0258717,36.64843005
61,3701022109.0,0,0.977272727273,117.0187636,36.64827664
62,3701022110.0,0,0.953598484848,117.0189631,36.66023744
63,3701022111.0,0,0.965909090909,117.0277766,36.66595763
64,3701022112.0,0,0.965909090909,117.0220757,36.66516561
65,3701022113.0,0,0.960858585859,117.0333379,36.66021738
66,3701022114.0,0,0.969223484848,117.0362783,36.66609826
67,3701022115.0,0,0.938446969697,117.0200164,36.66517778
68,3701022116.0,0,0.960858585859,117.0149687,36.66454311
69,3701022117.0,0,0.69365530303,117.0105074,36.66376497
70,3701022118.0,0,0.964646464646,117.01279,36.65987431
71,3701022119.0,0,0.969223484848,117.0418268,36.68016124
72,3701022120.0,0,0.975378787879,117.0392955,36.67159561
73,3701022121.0,0,0.954545454545,117.0222537,36.67204307
74,3701022122.0,0,0.861742424242,117.010492,36.67150612
75,3701022123.0,0,0.964015151515,117.0304742,36.67371784
76,3701022124.0,0,0.965909090909,117.0650819,36.65078241
77,3701022125.0,0,0.935606060606,117.0666799,36.66054978
78,3701022126.0,0,0.955965909091,117.0675237,36.66591928
79,3701022127.0,0,0.965909090909,117.0673959,36.66742785
80,3701022128.0,0,0.938446969697,117.1036783,36.67856317
81,3701022129.0,0,0.933080808081,117.0881324,36.65492459
82,3701022130.0,0,0.975378787879,117.095215,36.65668886
83,3701022131.0,0,0.971590909091,117.1056472,36.65868324
84,3701022132.0,0,0.890151515152,117.1225483,36.65950145
85,3701022133.0,0,0.941919191919,117.1351283,36.66103559
86,3701022134.0,0,0.94696969697,117.1457394,36.66402717
87,3701022135.0,0,0.923611111111,117.1106076,36.65379955
88,3701022136.0,0,0.921401515152,117.1139315,36.65387626
89,3701022137.0,0,0.919191919192,117.1173066,36.65379955
90,3701022138.0,0,0.640151515152,117.1172939,36.64968294
91,3701022139.0,0,0.852272727273,117.1193941,36.64955109
92,3701022140.0,0,0.912247474747,117.1139699,36.64928662
93,3701022141.0,0,0.787878787879,117.1107308,36.64970672
94,3701022142.0,0,0.975378787879,117.0211798,36.66195608
95,3701022143.0,0,0.688446969697,117.1197996,36.64750957
96,3701022147.0,0,0.961174242424,117.0654654,36.6545027
97,3701022148.0,0,0.846590909091,117.0386563,36.64827664
98,3701022149.0,0,0.833333333333,117.0445371,36.64791867
99,3701022150.0,0,0.968434343434,117.0796179,36.65226541
100,3701022151.0,0,0.929924242424,117.0421464,36.63686006
101,3701022152.0,0,0.975378787879,117.0450869,36.63755043
102,3701022153.0,0,0.82702020202,117.0768053,36.63876496
103,3701022154.0,0,0.901041666667,117.089577,36.64414724
104,3701022155.0,0,0.945075757576,117.1139315,36.64288157
105,3701022157.0,0,0.967803030303,117.0497021,36.66086939
106,3701022158.0,0,0.960227272727,117.090945,36.67653043
107,3701022159.0,0,0.739583333333,117.0782627,36.67422922
108,3701022160.0,0,0.960227272727,117.0742995,36.67220926
109,3701022161.0,0,0.927398989899,117.1206178,36.65383791
110,3701022162.0,0,0.958333333333,117.1135736,36.63555604
111,3701022163.0,0,0.960227272727,117.1085365,36.70581977
138,3701022647.0,0,0.67803030303,117.0755524,36.63843256
139,3701022648.0,0,0.954545454545,117.0841436,36.64124515
140,3701022649.0,0,0.947916666667,117.0873142,36.64344409
157,3701022669.0,0,0.945075757576,117.0714358,36.67160839
171,3701033001.0,0,0.643939393939,116.9026545,36.58749902
172,3701033002.0,0,0.944128787879,116.9943451,36.54326458
173,3701033003.0,0,0.528409090909,116.8829664,36.60212452
174,3701033004.0,0,0.592803030303,116.8841425,36.61567611
175,3701033005.0,0,0.965909090909,117.0074237,36.65495016
176,3701033006.0,0,0.975378787879,117.0074876,36.64892865
177,3701033007.0,0,0.969696969697,117.0078711,36.65131936
178,3701033008.0,0,0.916666666667,117.0059151,36.65135771
179,3701033010.0,0,0.833333333333,117.0005967,36.66441071
180,3701033011.0,0,0.969696969697,117.0021309,36.66746621
181,3701033012.0,0,0.961174242424,117.0017346,36.6672233
182,3701033013.0,0,0.912878787879,116.9934758,36.66384819
183,3701033014.0,0,0.842803030303,116.9949971,36.65829971
184,3701033015.0,0,0.369318181818,116.984386,36.65873438
185,3701033016.0,0,0.674242424242,116.9813049,36.65984663
186,3701033017.0,0,0.967803030303,116.9843604,36.66622611
187,3701033018.0,0,0.954545454545,116.993399,36.66819492
188,3701033019.0,0,0.962121212121,116.9934118,36.66577865
189,3701033020.0,0,0.931818181818,116.9826856,36.66356693
190,3701033021.0,0,0.545454545455,116.9849868,36.66226291
191,3701033022.0,0,0.159090909091,117.0059943,36.66314247
192,3701033023.0,0,0.630681818182,116.8839508,36.58204003
193,3701033024.0,0,0.869318181818,116.9130995,36.58928886
194,3701033025.0,0,0.579545454545,116.8258963,36.61526701
195,3701033027.0,0,0.969696969697,116.8831198,36.58177156
196,3701033028.0,0,0.962121212121,116.8970421,36.58050589
197,3701033029.0,0,0.647727272727,116.8956742,36.56902539
198,3701033030.0,0,0.253787878788,116.8982567,36.5283834
199,3701033031.0,0,0.488636363636,116.9784923,36.59464557
200,3701033033.0,0,0.655303030303,116.999689,36.61475562
201,3701033034.0,0,0.747159090909,117.0113485,36.61905122
202,3701033036.0,0,0.727272727273,116.9959304,36.65421989
203,3701033037.0,0,0.649621212121,116.9940639,36.65188188
204,3701033039.0,0,0.700757575758,116.9735721,36.65494614
205,3701033041.0,0,0.754734848485,117.008178,36.62761685
206,3701033042.0,0,0.898674242424,116.9354085,36.61591902
207,3701033043.0,0,0.976325757576,116.9301668,36.61168734
208,3701033047.0,0,0.848484848485,116.9766897,36.62709269
209,3701033048.0,0,0.670454545455,116.9854727,36.6364126
210,3701033050.0,0,0.94696969697,116.9906632,36.6388928
211,3701033052.0,0,0.456439393939,116.9275588,36.62777027
212,3701033053.0,0,0.863636363636,116.9348715,36.62034246
213,3701033054.0,0,0.899621212121,116.9460708,36.62459971
214,3701033056.0,0,0.785984848485,116.9226823,36.63009779
215,3701033057.0,0,0.680871212121,116.92458,36.6473178
216,3701033059.0,0,0.962121212121,117.0619113,36.6315417
218,3701033064.0,0,0.557765151515,117.0390909,36.72178764
219,3701033065.0,0,0.951704545455,116.9961989,36.63045502
220,3701033070.0,0,0.700757575758,116.890228,36.59915851
