kakou_no,statusRate,X,Y
3701033017,0.97 ,116.9843604,36.66622611
3701033018,0.98 ,116.993399,36.66819492
3701033019,0.98 ,116.9934118,36.66577865
3701033020,0.95 ,116.9826856,36.66356693
3701033021,0.55 ,116.9849868,36.66226291
3701033022,0.16 ,117.0059943,36.66314247
3701033023,0.64 ,116.8839508,36.58204003
3701033024,0.88 ,116.9130995,36.58928886
3701033025,0.58 ,116.8258963,36.61526701
3701033027,0.97 ,116.8831198,36.58177156
3701033028,0.98 ,116.8970421,36.58050589
3701033029,0.65 ,116.8956742,36.56902539
3701033030,0.25 ,116.8982567,36.5283834
3701033031,0.49 ,116.9784923,36.59464557
3701033033,0.66 ,116.999689,36.61475562
3701033034,0.77 ,117.0113485,36.61905122
3701033036,0.73 ,116.9959304,36.65421989
3701033037,0.65 ,116.9940639,36.65188188
3701033039,0.71 ,116.9735721,36.65494614
3701033041,0.76 ,117.008178,36.62761685
3701033042,0.92 ,116.9354085,36.61591902
3701033043,0.98 ,116.9301668,36.61168734
3701033047,0.86 ,116.9766897,36.62709269
3701033048,0.67 ,116.9854727,36.6364126
3701033050,0.95 ,116.9906632,36.6388928
3701033052,0.46 ,116.9275588,36.62777027
3701033053,0.90 ,116.9348715,36.62034246
3701033054,0.91 ,116.9460708,36.62459971
3701033056,0.79 ,116.9226823,36.63009779
3701033057,0.70 ,116.92458,36.6473178
3701033059,0.98 ,117.0619113,36.6315417
3701033064,0.56 ,117.0390909,36.72178764
3701033065,0.96 ,116.9961989,36.63045502
3701033070,0.71 ,116.890228,36.59915851
3701033071,0.61 ,116.8638919,36.61470449
3701033072,0.98 ,117.0228418,36.61584231
3701033073,0.69 ,116.9595329,36.55448939
3701033074,0.65 ,116.9760888,36.55119098
3701033101,0.96 ,117.0166158,36.63147778
3701033102,0.67 ,117.0117524,36.61894457
3701033103,0.98 ,117.0046367,36.63179739
3701033105,0.98 ,116.9967486,36.61933248
3701033106,0.98 ,116.9912513,36.64546405
3701033107,0.37 ,117.0075899,36.64837892
3701033108,0.98 ,117.0013766,36.64857068
3701033109,0.98 ,116.9960861,36.64840983
3701033110,0.83 ,116.9960582,36.65162618
3701033111,0.91 ,116.9914047,36.65171568
3701033112,0.98 ,116.9847253,36.64851359
3701033113,0.67 ,117.0012736,36.65748804
3701033114,0.98 ,116.9920398,36.65562052
3701033115,0.72 ,116.9911873,36.66153419
3701033116,0.98 ,116.9857028,36.66732558
3701033120,0.97 ,116.9916732,36.65806958
3701033121,0.76 ,116.990139,36.66519056
3701033122,0.74 ,116.9903563,36.66356693
3701033123,0.95 ,116.9920439,36.65832527
3701033124,0.86 ,116.9859457,36.66726165
3701033126,0.98 ,116.9848462,36.66410388
3701033127,0.98 ,116.9959304,36.64551518
3701033128,0.98 ,117.0089834,36.60696985
3701033129,0.98 ,117.0147109,36.6271694
